ALGORITHM, FEATURE_R, FEATURE_L, FEATURE_U, FEATURE_D, FEATURE_F, FEATURE_B, FEATURE_RP, FEATURE_LP, FEATURE_UP, FEATURE_DP, FEATURE_FP, FEATURE_BP, FEATURE_R2, FEATURE_L2, FEATURE_U2, FEATURE_D2, FEATURE_F2, FEATURE_B2, FEATURE_M, FEATURE_MP, FEATURE_M2, FEATURE_REGRIPS, FEATURE_RL_REGRIPS, FEATURE_OVERWORKING, LABEL
R U R' U' M' U' R' B' ,1,0,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,1.1
R U R' D' F U' F R' F' ,1,0,1,0,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,2,1.28
R U R' D' F' U' F' U' M' ,1,0,1,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1.39
R U R' D' M F2 L' ,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1.45
R U R' U2 R' D U' F' U2 ,1,0,1,1,0,0,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1.25
R U R' U2 M U R' U F' ,1,0,3,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1.37
R U D' R D R' U L' ,2,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.79
R U D' R U2 F R' U' B ,2,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,9,0,0,1.98
R U D' F U' R' U F' U2 ,1,0,2,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,6,0,0,1.35
R U D' R' D L ,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.45
R U D' R' U' F D U' M ,1,0,1,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.38
R U D' R' U2 F U' R' B' ,1,0,1,0,1,0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,6,0,0,1.14
R U D' B2 U' M U' D ,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1.4
R U D' M D' F R' U R ,2,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,6,0,1,1.43
R U R2 U R U' D' R' D2 ,2,0,2,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1.46
R U R2 D F M D ,1,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.17
R U R2 F M U R2 F' ,1,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1.6
R U R2 U' F' D' M U R2 ,1,0,2,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1.78
R U R2 D' M U' D' B' ,1,0,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,1,0,0,3,0,0,1.6
R U D2 F M U' R U2 ,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,1.65
R U B2 U' B2 U F ,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,1.46
R U M U F R' L2 ,1,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,1,0,1.69
R U M U R2 U' F U ,1,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.29
R U M D R' U2 F' U ,1,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1.09
R U M F D F R L ,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,1.1
R U M F R2 F' R U' M2 ,2,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,6,0,1,1.6
R U M U' F R' D M F ,1,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,1.79
R U M U' R' F' R U M U ,2,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1.59
R U M U' M U' L' ,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,1.26
R U M D' R' F' D R F ,2,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1.8
R U M U2 R' U F M U2 ,1,0,2,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2.06
R U M' U F U L' ,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1.07
R D R U R' U' R' U' F' D ,2,0,1,2,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.77
R D R D M U' F2 ,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3,0,1,1.19
R D R U' R' U D R U ,3,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
R D R D' F M D R' ,2,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1.25
R D R D2 M U D' ,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1.13
R D F R U M F U' D' ,2,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1.25
R D F U D' R' F ,1,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1.03
R D F R' U' F U R F ,2,0,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1.78
R D F U' R' D' M B ,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,9,0,0,1.77
R D F R2 U' R2 U' L2 ,1,0,0,1,1,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,3,1,1,1.05
R D F M U2 F U B' ,1,0,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,6,0,0,1.87
R D R' U R' U M U D ,1,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.06
R D R' U R2 U D R' U2 ,1,0,2,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.21
R D R' D R' U2 R U' R2 ,2,0,0,2,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,0,1,1.32
R D R' F R' D U' ,1,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,.64
R D R' U' R U' R U' F' ,3,0,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.22
R D R' U' R' F' U' F' D ,1,0,0,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1.63
R D R' U' M U M U2 ,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1.34
R D R' D' F' D R U L' ,2,0,1,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.02
R D R' U2 R' F' U R F2 ,2,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3,0,0,1.65
R D U' R F R' F U M ,2,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,1.71
R D U' F U R2 U R B' ,2,0,2,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,1.37
R D U' R' U R B2 L' ,2,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.49
R D U' R' U' R U M U' L' ,2,0,1,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.27
R D U' R' U2 R U2 B' ,2,0,0,1,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1.82
R D U' B2 R2 U' M' ,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1.18
R D U' M D' R' U' F' B2 ,1,0,0,1,0,0,1,0,2,1,1,0,0,0,0,0,0,1,1,0,0,3,0,0,1.79
R D R2 D U' R U' D2 ,2,0,0,2,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1.36
